precision,recall,f1,balanced_accuracy,pr_auc,roc_auc,confusion_matrix,experiment,model,fold,train_samples,test_samples
1.0,1.0,1.0,1.0,1.0,1.0,"[[2, 0], [0, 429]]",A_flow,LogisticRegression,1,2118,431
1.0,1.0,1.0,1.0,1.0,,[[499]],A_flow,LogisticRegression,2,2050,499
1.0,1.0,1.0,1.0,1.0,1.0,"[[2, 0], [0, 424]]",A_flow,LogisticRegression,3,2123,426
1.0,1.0,1.0,1.0,0.9999999999999999,1.0,"[[2, 0], [0, 526]]",A_flow,LogisticRegression,4,2021,528
1.0,1.0,1.0,1.0,1.0,1.0,"[[2, 0], [0, 361]]",A_flow,LogisticRegression,5,2186,363
0.9976744186046511,1.0,0.9988358556461001,0.75,1.0,1.0,"[[1, 1], [0, 429]]",A_flow,RandomForest,1,2118,431
1.0,1.0,1.0,1.0,1.0,,[[499]],A_flow,RandomForest,2,2050,499
0.9976470588235294,1.0,0.9988221436984688,0.75,1.0,1.0,"[[1, 1], [0, 424]]",A_flow,RandomForest,3,2123,426
1.0,1.0,1.0,1.0,1.0,1.0,"[[2, 0], [0, 526]]",A_flow,RandomForest,4,2021,528
1.0,1.0,1.0,1.0,1.0,1.0,"[[2, 0], [0, 361]]",A_flow,RandomForest,5,2186,363
0.9976744186046511,1.0,0.9988358556461001,0.75,1.0,1.0,"[[1, 1], [0, 429]]",A_flow,XGBoost,1,2118,431
1.0,1.0,1.0,1.0,1.0,,[[499]],A_flow,XGBoost,2,2050,499
0.9976470588235294,1.0,0.9988221436984688,0.75,1.0000000000000002,1.0,"[[1, 1], [0, 424]]",A_flow,XGBoost,3,2123,426
1.0,1.0,1.0,1.0,0.9999999999999999,1.0,"[[2, 0], [0, 526]]",A_flow,XGBoost,4,2021,528
0.9972375690607734,1.0,0.9986168741355463,0.75,0.9999999999999998,1.0,"[[1, 1], [0, 361]]",A_flow,XGBoost,5,2186,363
0.95,1.0,0.9743589743589743,0.5,0.9967105263157895,0.9342105263157895,"[[0, 2], [0, 38]]",B_ja3,LogisticRegression,1,160,40
0.975,1.0,0.9873417721518988,0.5,0.9983974358974359,0.9358974358974359,"[[0, 1], [0, 39]]",B_ja3,LogisticRegression,2,160,40
