dataset_id,dataset_name,publication_year,source,official_url,paper_url,raw_pcap,bidirectional_pcap,tls_versions,tls_1_3,quic,clienthello_available,serverhello_available,ja3_available,ja3_computable,ja3s_computable,ja4_available,ja4_computable,flow_features_available,packet_lengths_available,iat_available,benign_traffic,malware_traffic,c2_traffic,label_quality,class_balance,capture_environment,temporal_information,dataset_size,license_or_access,download_status,verification_status,planned_role,suitability,known_leakage,known_limitations,evidence_source,notes
DS-001,ISCXVPN2016,2016,"University of New Brunswick, Canadian Institute for Cybersecurity (CIC)",https://www.unb.ca/cic/datasets/vpn.html,https://doi.org/10.1109/ICISSP.2016.00033,VERIFIED_YES,NOT_VERIFIED,TLS 1.2 (dominant),VERIFIED_NO,NOT_APPLICABLE,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,VERIFIED_YES,VERIFIED_YES,VERIFIED_YES,VERIFIED_YES,VERIFIED_NO,NOT_APPLICABLE,PARTIALLY_VERIFIED,PARTIALLY_VERIFIED,PARTIALLY_VERIFIED,VERIFIED_YES,~28 GB PCAP; 158659+ CICFlowMeter samples,Publicly available,PENDING,PARTIALLY_VERIFIED,LEGACY_COMPARISON; FLOW_ONLY_SUPPLEMENT,MEDIUM,IP addresses; SNI; port numbers; flow IDs; timestamps,98.9% unencrypted traffic; deprecated cipher suites (AES-CBC; 3DES; RC4); pre-2018 collection; no malware traffic; class imbalance,dataset-evaluation.md; experimental-design.md; wickramasinghe2025sok,PCAPs available but ClientHello presence and JA4 computability unverified. Suitable for application classification and flow-only baselines but not for malicious/benign detection due to lack of malware labels.
DS-002,CIC-Darknet2020,2020,"Canadian Institute for Cybersecurity (CIC), University of New Brunswick",https://www.unb.ca/cic/datasets/darknet2020.html,https://doi.org/10.1109/ICCNS.2020.00020,VERIFIED_NO,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,VERIFIED_NO,VERIFIED_NO,VERIFIED_NO,VERIFIED_NO,VERIFIED_NO,VERIFIED_NO,VERIFIED_NO,VERIFIED_YES,VERIFIED_YES,VERIFIED_YES,VERIFIED_YES,VERIFIED_NO,NOT_APPLICABLE,PARTIALLY_VERIFIED,VERIFIED_NO,PARTIALLY_VERIFIED,VERIFIED_YES,158659 samples; 73.33 MB CSV,Publicly available,PENDING,PARTIALLY_VERIFIED,FLOW_ONLY_SUPPLEMENT,LOW,IP addresses; destination ports; protocol; flow IDs; timestamps,No raw PCAPs in distribution; extreme class imbalance (~67:1 Tor vs non-Tor); IP/port leakage features; not actual malware traffic; precomputed features only,dataset-evaluation.md; wickramasinghe2025sok,CSV-only distribution prevents JA3/JA4 computation. Can only support Experiment A (Flow-only). Constituent PCAPs exist separately but are not part of this dataset.
DS-003,USTC-TFC2016,2016,"University of Science and Technology of China (USTC); Institute of Acoustics, Chinese Academy of Sciences",https://github.com/yungshenglu/USTC-TFC2016,https://doi.org/10.1109/ICOIN.2017.00,VERIFIED_YES,NOT_VERIFIED,TLS 1.0; TLS 1.2 (dominant),VERIFIED_NO,NOT_APPLICABLE,VERIFIED_YES,VERIFIED_YES,VERIFIED_YES,VERIFIED_YES,VERIFIED_YES,VERIFIED_NO,VERIFIED_NO,VERIFIED_YES,VERIFIED_YES,VERIFIED_YES,VERIFIED_YES,VERIFIED_YES,NOT_VERIFIED,PARTIALLY_VERIFIED,NOT_VERIFIED,PARTIALLY_VERIFIED,VERIFIED_YES,3.71 GB; 20 PCAP files (10 benign; 10 malware),Publicly available (GitHub),VERIFIED_YES,VERIFIED,FLOW_ONLY_SUPPLEMENT,LOW,IP addresses; ports; packet timing artifacts,94.7% unencrypted traffic; deprecated cipher suites; pre-2018 collection; synthetic benign traffic; sandbox-origin malware; class balance after filtering unknown,phase-5-empirical-verification-report.md,"Empirically verified. Malware traffic uses SSL 3.0 (no extensions, JA4 fails). Benign traffic lacks ClientHellos. Rejected for JA4 experiments."
DS-004,CipherSpectrum,2025,Wickramasinghe et al. (IEEE S&P 2025),https://cspectrum.web.cse.unsw.edu.au,https://doi.org/10.1109/SP61157.2025.00165,VERIFIED_YES,VERIFIED_YES,TLS 1.2; TLS 1.3,VERIFIED_YES,NOT_APPLICABLE,VERIFIED_YES,VERIFIED_YES,VERIFIED_YES,VERIFIED_YES,VERIFIED_YES,VERIFIED_YES,VERIFIED_YES,VERIFIED_YES,VERIFIED_YES,VERIFIED_YES,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,120000 sessions (reported),Publicly available (CC BY-NC 4.0),VERIFIED_YES,VERIFIED_YES,PRIMARY_TRAINING; PRIMARY_TEST,HIGH,PENDING,NOT_VERIFIED,phase-5-empirical-verification-report.md,Empirically verified. Valid TLS 1.3 ClientHellos present. JA4 fully computable. Flow bidirectionality confirmed.
DS-005,CSTNET-TLS1.3,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,VERIFIED_NO,NOT_VERIFIED,TLS 1.3 (exclusive),VERIFIED_YES,NOT_APPLICABLE,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,Publicly available (GitHub ET-BERT),VERIFIED_YES,VERIFIED,NONE,LOW,NOT_VERIFIED,Provided ONLY as anonymized TSV files. Raw PCAPs are not available.,phase-5-empirical-verification-report.md,Empirically verified access via ET-BERT repo. Provided ONLY as anonymized TSV files. Raw PCAPs are not available. Rejected for JA4 experiments.
DS-006,Beyond JA4+,2024,Brno University of Technology,https://github.com/matousp/tls-fingerprinting,NOT_VERIFIED,PARTIALLY_VERIFIED,NOT_VERIFIED,TLS 1.2; TLS 1.3,VERIFIED_YES,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,REPORTED_YES,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,VERIFIED_YES,VERIFIED_YES,NOT_VERIFIED,PARTIALLY_VERIFIED,NOT_VERIFIED,PARTIALLY_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,ACADEMIC_REQUEST_REQUIRED,PENDING,PARTIALLY_VERIFIED,PRIMARY_CANDIDATE,PENDING,NOT_VERIFIED,Public repos contain only subsets of PCAPs,dataset-evidence-register.md,Requires academic request for full PCAPs to ensure independent JA4 extraction.
DS-007,Annotated Encrypted Network Traffic,2024,Brno University of Technology,NOT_VERIFIED,NOT_VERIFIED,VERIFIED_YES,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,VERIFIED_YES,NOT_VERIFIED,NOT_VERIFIED,VERIFIED_YES,VERIFIED_YES,NOT_VERIFIED,PARTIALLY_VERIFIED,NOT_VERIFIED,PARTIALLY_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,ACADEMIC_REQUEST_REQUIRED,PENDING,PARTIALLY_VERIFIED,PRIMARY_CANDIDATE,PENDING,NOT_VERIFIED,Raw PCAPs require justified request; public files are Apache Parquet,dataset-evidence-register.md,Highly relevant modern SOHO/malware dataset. Pending access request.
DS-008,Malware-Traffic-Analysis.net,NOT_VERIFIED,Brad Duncan,https://www.malware-traffic-analysis.net/,NOT_APPLICABLE,VERIFIED_YES,NOT_VERIFIED,TLS 1.2; TLS 1.3,VERIFIED_YES,NOT_VERIFIED,VERIFIED_YES,VERIFIED_YES,NOT_VERIFIED,VERIFIED_YES,VERIFIED_YES,NOT_VERIFIED,VERIFIED_YES,VERIFIED_YES,VERIFIED_YES,VERIFIED_YES,VERIFIED_NO,VERIFIED_YES,VERIFIED_YES,PARTIALLY_VERIFIED,VERIFIED_NO,NOT_VERIFIED,VERIFIED_YES,NOT_VERIFIED,PUBLICLY_DOWNLOADABLE,PENDING,VERIFIED_YES,PRIMARY_CANDIDATE_PENDING_BENIGN_DATA,HIGH,NOT_VERIFIED,Requires intensive manual curation; dataset-source leakage if combined with external benign dataset,phase-5-candidate-verification-report.md,Empirically verified. Strong TLS 1.3 C2 captures. Lacks benign traffic.
DS-009,Stratosphere MCFP,NOT_VERIFIED,Stratosphere Laboratory / CTU,https://www.stratosphereips.org/datasets-overview,NOT_VERIFIED,VERIFIED_YES,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,PARTIALLY_VERIFIED,PARTIALLY_VERIFIED,NOT_VERIFIED,PARTIALLY_VERIFIED,PARTIALLY_VERIFIED,NOT_VERIFIED,PARTIALLY_VERIFIED,VERIFIED_YES,VERIFIED_YES,VERIFIED_YES,VERIFIED_NO,VERIFIED_YES,VERIFIED_YES,PARTIALLY_VERIFIED,VERIFIED_NO,PARTIALLY_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,PUBLICLY_DOWNLOADABLE,PENDING,PARTIALLY_VERIFIED,SECONDARY_MALWARE,LOW,NOT_VERIFIED,Sandbox artifacts prevalent; TLS versions vary heavily,phase-5-candidate-verification-report.md,Highly varied public captures; TLS 1.3 difficult to isolate reliably.
DS-010,IoT-23,2020,Stratosphere Laboratory,https://zenodo.org/,NOT_VERIFIED,VERIFIED_YES,NOT_VERIFIED,NOT_VERIFIED,VERIFIED_NO,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,VERIFIED_YES,NOT_VERIFIED,NOT_VERIFIED,VERIFIED_YES,VERIFIED_YES,NOT_VERIFIED,PARTIALLY_VERIFIED,NOT_VERIFIED,PARTIALLY_VERIFIED,VERIFIED_YES,NOT_VERIFIED,Publicly available,PENDING,PARTIALLY_VERIFIED,SUPPLEMENTARY,LOW,NOT_VERIFIED,IoT traffic differs fundamentally from enterprise/endpoint traffic,dataset-evidence-register.md,Useful for secondary validation but unlikely to serve as primary dataset for threat hunter.
