source_id,citation_key,title,authors,year,source_type,venue,doi_or_url,category,discovery_date,discovery_source,review_status,inclusion_status,verification_status,source_quality,evidence_availability,exclusion_reason,notes
1,akbari2022traffic,"Traffic Classification in an Increasingly Encrypted Web","Akbari, Iman; Salahuddin, Mohammad A.; Aniva, Leni; Limam, Noura; Boutaba, Raouf; Mathieu, Bertrand; Moteau, Stephanie; Tuffin, Stephane",2022,Peer-Reviewed Paper,"Communications of the ACM (CACM)",https://doi.org/10.1145/3559439,Area 1,2026-08-14,Web search (ACM Digital Library),pending,included,verified,FOUNDATIONAL,partial,,Protocol-agnostic feature engineering for encrypted web traffic using flow statistics and TLS handshake bytes; directly relevant to ETTH's metadata-only approach.
2,oh2021survey,"A Survey on TLS-Encrypted Malware Network Traffic Analysis Applicable to Security Operations Centers","Oh, Chaeyeon; Ha, Joonseo; Roh, Heejun",2021,Peer-Reviewed Survey,"Applied Sciences (MDPI)",https://doi.org/10.3390/app12010155,Area 1,2026-08-14,Web search (MDPI),pending,included,verified,SUPPORTING,partial,,Comprehensive survey of TLS-encrypted NTA for SOCs; covers TLS fingerprinting, flow features, and ML pipelines without decryption.
3,papadogiannaki2021survey,"A survey on encrypted network traffic analysis applications, techniques, and countermeasures","Papadogiannaki, Eirini; Ioannidis, Sotiris",2021,Peer-Reviewed Survey,"ACM Computing Surveys",https://doi.org/10.1145/3457904,Area 1,2026-08-14,Web search (ACM),pending,included,verified,BACKGROUND,partial,,Broad survey of encrypted traffic analysis; discusses deployment models and machine-learning pipelines for SOCs.
4,matousek2025towards,"Towards identification of network applications in encrypted traffic","Matousek, Petr; Burgetova, Ivana; Rysavy, Ondrej; Victor, Malombe",2025,Peer-Reviewed Paper,"Annals of Telecommunications",https://doi.org/10.1007/s12243-025-01114-z,Area 1,2026-08-14,Web search (Springer),pending,included,verified,SUPPORTING,partial,,Compares JA3/JA4/ML/SNI for application identification; introduces annotated TLS dataset; highlights shared fingerprint limitations.
5,anderson2016deciphering,"Deciphering Malware's use of TLS (without Decryption)","Anderson, Blake; Paul, Subharthi; McGrew, David",2017,Peer-Reviewed Paper,"Journal of Computer Virology and Hacking Techniques",https://arxiv.org/abs/1607.01639,Area 1,2026-08-14,Web search (arXiv),pending,included,verified,FOUNDATIONAL,partial,,Seminal Cisco study showing malware TLS usage differs from benign traffic; addresses sandbox bias; 90%+ family attribution from single encrypted flow.
6,barut2020tls,"TLS Encrypted Application Classification Using Machine Learning with Flow Feature Engineering","Barut, O.; Zhu, R.; Luo, Y.; Zhang, T.",2020,Peer-Reviewed Paper,"Proceedings of the 10th International Conference on Communication and Network Security (ACM CNS)",https://doi.org/10.1145/3442520.3442529,Area 1,2026-08-14,Web search (ACM),pending,included,verified,SUPPORTING,partial,,Proposes flow feature engineering for TLS-encrypted application classification; uses RF and CNN; achieves 0.929 macro-F1 on non-vpn2016 dataset.
7,althouse2017ja3,"Open Sourcing JA3","Althouse, John B.; Atkinson, Jeff; Atkins, Josh; Lindeman, Laura",2017,Technical Documentation,"Salesforce Engineering Blog",https://engineering.salesforce.com/open-sourcing-ja3-92c9e53c3c41/,Area 2,2026-08-14,Web search (Salesforce),pending,included,verified,FOUNDATIONAL,full,,Original announcement of JA3; explains MD5 hashing of ClientHello fields and GREASE handling; foundational for TLS fingerprinting.
8,althouse2019ja3s,"TLS Fingerprinting with JA3 and JA3S","Althouse, John B.; Lindeman, Laura",2019,Technical Documentation,"Salesforce Engineering Blog",https://engineering.salesforce.com/tls-fingerprinting-with-ja3-and-ja3s-247362855967/,Area 2,2026-08-14,Web search (Salesforce),pending,included,verified,FOUNDATIONAL,full,,Extends JA3 to server-side fingerprinting (JA3S); discusses combined client-server fingerprinting for malware detection.
9,matousek2021reliability,"On Reliability of JA3 Hashes for Fingerprinting Mobile Applications","Matousek, Petr; Burgetova, Ivana; Rysavy, Ondrej; Victor, Malombe",2021,Peer-Reviewed Paper,"Digital Forensics and Cyber Crime (ICDF2C 2021)",https://doi.org/10.1007/978-3-030-68734-2_1,Area 2,2026-08-14,Web search (Springer),pending,included,verified,SUPPORTING,partial,,Empirical evaluation of JA3 stability and uniqueness for mobile apps; reports collision rates; concludes JA3 alone is insufficient for reliable identification.
10,althouse2023ja4,"JA4+ Network Fingerprinting","Althouse, John",2023,Technical Documentation,"FoxIO Blog",https://blog.foxio.io/ja4-network-fingerprinting-9376fe9ca637,Area 2,2026-08-14,Web search (FoxIO),pending,included,verified,FOUNDATIONAL,full,,Introduces JA4 human-readable fingerprint format; covers TLS over TCP/QUIC/DTLS; ALPN handling; successor to JA3.
11,anderson2020accurate,"Accurate TLS Fingerprinting using Destination Context and Approximate Matching","Anderson, Blake; McGrew, David",2020,arXiv Preprint,"arXiv",https://arxiv.org/abs/2009.01939,Area 2,2026-08-14,Web search (arXiv),pending,included,verified,SUPPORTING,partial,,Proposes destination-aware TLS fingerprinting (mercury); addresses JA3 collision problem; achieves F1 > 0.99 for process identification.
12,rfc9849,"TLS Encrypted Client Hello (ECH)","IETF",2026,Standards Document,"RFC 9849",https://www.rfc-editor.org/info/rfc9849,Area 2,2026-08-14,Web search (IETF),pending,included,verified,FOUNDATIONAL,full,,"Defines ECH extension encrypting SNI and ALPN; directly impacts TLS visibility and fingerprinting assumptions for ETTH."
13,cisco2025ech,"Encrypted Client Hello (ECH) Defense Strategies","Cisco",2025,Technical Documentation,"Cisco Secure Firewall Documentation",https://secure.cisco.com/secure-firewall/docs/encrypted-client-hello-defense-strategies-how-cisco-secure-firewall-tackles-ech,Area 2,2026-08-14,Web search (Cisco),pending,included,verified,SUPPORTING,partial,,"Operational analysis of ECH impact on network security controls; discusses SNI loss and fallback strategies using EVE fingerprinting."
14,fu2024hypervision,"Flow Interaction Graph Analysis: Unknown Encrypted Malicious Traffic Detection","Fu, Chuanpu; Li, Qi; Xu, Ke",2024,Peer-Reviewed Paper,"IEEE/ACM Transactions on Networking",https://doi.org/10.1109/TNET.2024.3370851,Area 3,2026-08-14,Web search (IEEE/ACM),pending,included,verified,FOUNDATIONAL,partial,,"Proposes HyperVision unsupervised graph-based detector for unknown encrypted malicious traffic; captures flow interaction patterns; 13.9% accuracy improvement over SOTA."
15,ramos2023cobalt,"Detecting Stealthy Cobalt Strike C&C Activities via Multi-Flow based Machine Learning","Ramos, Fabian Martin; Wang, Xinyuan",2023,Peer-Reviewed Paper,"ICMLA 2023",https://people.cs.gmu.edu/~xwangc/Publications/ICMLA2023-CobaltStrikeMFMLDetect.pdf,Area 3,2026-08-14,Web search (GMU),pending,included,verified,SUPPORTING,partial,,"Multi-flow ML features for encrypted Cobalt Strike HTTPS Beacon detection; 90.9% TPR and 0.4% FPR on real-world attack traffic."
16,martinramos2022cobalt,"A Machine Learning Based Approach to Detect Stealthy Cobalt Strike C&C Traffic","Martin Ramos, Fabian; Wang, Xinyuan",2022,Peer-Reviewed Paper,"Machine Learning and Knowledge Extraction (MLN)",https://people.cs.gmu.edu/~xwangc/Publications/MLN2022-CobaltStrikeMLDetect.pdf,Area 3,2026-08-14,Web search (GMU),pending,included,verified,SUPPORTING,partial,,"Flow-based RF detection of Cobalt Strike Beacon; validates on real-world cyberattack traffic; 50% detection rate with 1.4% FPR."
17,zhang2025beacon,"Beaconing Detection in Encrypted Traffic: A SCADA-Based Hybrid Approach Using Zeek Metadata and Isolation Forest","Zhang, Y.; et al.",2025,Peer-Reviewed Paper,"ResearchGate / RS",https://doi.org/10.21203/rs.3.rs-8244495/v1,Area 3,2026-08-14,Web search (ResearchGate),pending,included,verified,SUPPORTING,partial,,"Hybrid beacon detection using Zeek conn.log metadata and Isolation Forest; payload-independent; 94.59% accuracy on SCADA encrypted traffic."
18,akem2024realtime,"Real-Time Encrypted Traffic Classification in Programmable Networks with P4 and Machine Learning","Akem, A. T.-J.; Fraysse, G.; Fiore, M.",2024,Peer-Reviewed Paper,"International Journal of Network Management",https://doi.org/10.1002/nem.2320,Area 3,2026-08-14,Web search (ACM/IJNM),pending,included,verified,SUPPORTING,partial,,"In-switch Random Forest for encrypted traffic classification using only packet size and IAT features; 95% QUIC accuracy; line-rate inference."
19,garcia2018efficient,"Efficient Distribution-Derived Features for High-Speed Encrypted Flow Classification","Garcia, J.; Korhonen, T.; Andersson, R.; Vastlund, F.",2018,Peer-Reviewed Paper,"ACM SIGCOMM Workshop on Network Meets AI & ML (NetAI)",https://doi.org/10.1145/3229543.3229548,Area 3,2026-08-14,Web search (ACM),pending,included,verified,SUPPORTING,partial,,"Evaluates histogram-based distribution features (KSD) for encrypted flow classification; demonstrates packet-size and IAT distribution features with Random Forest."
20,wickramasinghe2025sok,"SoK: Decoding the Enigma of Encrypted Network Traffic Classifiers","Wickramasinghe, Nimesha; Shaghaghi, Arash; Tsudik, Gene; Jha, Sanjay",2025,Peer-Reviewed Paper,"IEEE Symposium on Security and Privacy (S&P)",https://doi.org/10.1109/SP61157.2025.00165,Area 4,2026-08-14,Web search (IEEE),pending,included,verified,FOUNDATIONAL,partial,,"Systematization of ML-based NTC; reveals reliance on outdated datasets; 348 occlusion experiments showing overfitting and SNI data leakage."
21,malekghaini2022data,"Data Drift in DL: Lessons Learned From Encrypted Traffic Classification","Malekghaini, Navid; Akbari, Elham; Salahuddin, Mohammad; Limam, Noura; Boutaba, Raouf; Mathieu, Bertrand; Moteau, Stephanie; Tuffin, Stephane",2022,Peer-Reviewed Paper,"IFIP Networking Conference",https://dl.ifip.org/index.html/db/conf/networking/networking2022/1570792477.pdf,Area 4,2026-08-14,Web search (IFIP),pending,included,verified,SUPPORTING,partial,,"Studies data/concept drift effects on deep learning encrypted traffic classifiers; proposes architectural adaptations for robustness across datasets and time."
22,singh2025interpretable,"Interpretable Anomaly Detection in Encrypted Traffic","Singh, Kalindi; Kashyap, Aayush; Cherukuri, Aswani Kumar",2025,arXiv Preprint,"arXiv",https://arxiv.org/abs/2505.16261,Area 4,2026-08-14,Web search (arXiv),pending,included,verified,SUPPORTING,partial,,"Applies XGBoost, Random Forest, and Isolation Forest with SHAP explainability to encrypted traffic anomaly detection; 99.94% accuracy on CIC-Darknet2020."
23,grabowski2025explainable,"Explainable AI for Forensic Analysis: A Comparative Study of SHAP and LIME in Intrusion Detection Models","Grabowski, Adam; Xu, Shengjie",2025,Peer-Reviewed Paper,"Applied Sciences (MDPI)",https://doi.org/10.3390/app15137329,Area 4,2026-08-14,Web search (MDPI),pending,included,verified,SUPPORTING,partial,,"Compares SHAP and LIME for XGBoost/TabNet on UNSW-NB15; evaluates fidelity, consistency, and forensic relevance for IDS explainability."
