id,authors,year,title,venue,doi_or_url,citation_key,category,problem_addressed,dataset_used,traffic_type,tls_version_range,features_used,fingerprinting_method,ml_algorithm,evaluation_metrics,main_findings,main_limitations,relevance_to_etth,possible_research_gap,notes
1,"Akbari, Iman; Salahuddin, Mohammad A.; Aniva, Leni; Limam, Noura; Boutaba, Raouf; Mathieu, Bertrand; Moteau, Stephanie; Tuffin, Stephane",2022,"Traffic Classification in an Increasingly Encrypted Web","Communications of the ACM (CACM)",https://doi.org/10.1145/3559439,akbari2022traffic,Area 1,"Encrypted traffic classification using deep learning often relies on simple logic from TLS handshake headers, limiting robustness to future protocol versions; need for protocol-agnostic features","Real-world mobile traffic dataset from major ISP and mobile network operator; public QUIC dataset",Encrypted web traffic (HTTPS HTTP/2 QUIC),TLS 1.2 TLS 1.3,"Flow statistics (packet sizes IATs direction) TLS handshake raw bytes (first 3 packets) SNI masked cipher info masked",Not reported,CNN + stacked LSTM,Accuracy false classification rate,"Protocol-agnostic feature set (flow stats + traffic shape + handshake bytes) outperforms state-of-the-art by nearly 50% fewer false classifications; model generalizes across service- and application-level classification and adapts to QUIC","Relies on ISP-grade dataset; QUIC evaluation uses public dataset with finer granularity; may not generalize to all encrypted protocols",High - directly supports ETTH's metadata-only feature engineering approach,"Protocol-agnostic features may still leak identity through canary features if not properly masked",Verified - DOI resolves to CACM article
2,"Oh, Chaeyeon; Ha, Joonseo; Roh, Heejun",2021,"A Survey on TLS-Encrypted Malware Network Traffic Analysis Applicable to Security Operations Centers","Applied Sciences (MDPI)",https://doi.org/10.3390/app12010155,oh2021survey,Area 1,"Survey of TLS-encrypted malware NTA methods for SOCs; need to understand deployment models and ML pipelines without decryption","Multiple datasets referenced (Cisco joy Cisco mercury SSL blacklists)",TLS-encrypted malware and benign traffic,TLS 1.0 TLS 1.2 TLS 1.3,"TLS handshake metadata SPLT BD flow features",JA3 JA3S TLS fingerprinting,Survey of ML methods (RF CNN LSTM),Accuracy precision recall FDR,"Three main deployment models: TLS interception cryptographic function inspection passive inspection without decryption; TLS fingerprinting widely used in industry; combining TLS metadata SPLT BD improves accuracy at 0.00% FDR","Survey only; no original experimental results; dataset bias from sandbox-collected malware traffic acknowledged",High - comprehensive survey of TLS-encrypted NTA landscape and methods,"Limited peer-reviewed validation of JA3 reliability for malware detection",Verified - DOI resolves to MDPI article
3,"Papadogiannaki, Eirini; Ioannidis, Sotiris",2021,"A survey on encrypted network traffic analysis applications, techniques, and countermeasures","ACM Computing Surveys",https://doi.org/10.1145/3457904,papadogiannaki2021survey,Area 1,"Broad survey of encrypted traffic analysis applications techniques and countermeasures; need for systematization of the field","Multiple datasets and systems referenced (Cisco joy nDPI etc.)",Encrypted network traffic (TLS VPN etc.),TLS 1.0 TLS 1.2 TLS 1.3,"Flow features packet length sequences inter-arrival times TLS handshake metadata",TLS fingerprinting (JA3 Markov chains),Survey of ML and statistical methods,Survey coverage,"Comprehensive taxonomy of encrypted traffic analysis methods; discusses privacy-preserving inspection without decryption; identifies need for OSINT-friendly fingerprinting techniques","Survey only; no original experiments; rapidly evolving field may outpace survey",High - establishes the broader encrypted traffic analysis context for ETTH,"Lack of large-scale real-world validation of proposed methods",Verified - DOI resolves to ACM CSUR article
4,"Matousek, Petr; Burgetova, Ivana; Rysavy, Ondrej; Victor, Malombe",2025,"Towards identification of network applications in encrypted traffic","Annals of Telecommunications",https://doi.org/10.1007/s12243-025-01114-z,matousek2025towards,Area 1,"Comparing fingerprinting (JA3/JA4) SNI-based identification and ML-based classification for TLS application identification; evaluating accuracy coverage and practicality","Novel annotated TLS dataset collected from desktop and mobile applications",TLS-encrypted application traffic,TLS 1.2 TLS 1.3,"JA3 JA4 JA3S JA4S fingerprints SNI flow metadata (bytes packets duration)",JA3 JA4 JA3S JA4S SNI matching,ML-based classification (RF k-NN CNN),F1-score accuracy coverage efficiency,"JA4+JA4S combination achieves >90% accuracy; JA3 performs poorly due to random extension ordering causing multiple fingerprints per application; shared fingerprints across applications reduce discriminative power; combining contextual features (IP port flow metadata) with fingerprints improves precision","JA3 instability due to client-side extension shuffling; fingerprint collisions across applications; ML-based detectors struggle with unseen samples; requires regularly updated fingerprint databases",High - directly compares JA3 vs JA4 and highlights fingerprint collision issues relevant to ETTH's fingerprinting component,"JA4 evaluation limited to specific application set; need broader validation across diverse environments",Verified - DOI resolves to Springer article
5,"Anderson, Blake; Paul, Subharthi; McGrew, David",2017,"Deciphering Malware's use of TLS (without Decryption)","Journal of Computer Virology and Hacking Techniques",https://arxiv.org/abs/1607.01639,anderson2016deciphering,Area 1,"Detecting and attributing malware communication in TLS-encrypted traffic without decryption; accommodating sandbox bias in malware datasets","Millions of TLS-encrypted flows from enterprise DMZ; 18 malware families with thousands of samples and tens of thousands of malicious TLS flows",TLS-encrypted malware and benign enterprise traffic,TLS 1.0 TLS 1.2,"Cipher suite list TLS version extensions elliptic curves certificate attributes flow-level statistics",TLS feature fingerprinting (custom),Machine learning classifiers (RF etc.),Accuracy precision recall,"Malware TLS usage differs significantly from benign enterprise traffic; malware uses weaker ciphersuites ~20% more than DMZ traffic; 90.3% family attribution accuracy per single encrypted flow; 93.2% using all flows in 5-minute window; sandbox bias must be accommodated","Sandbox environment bias (Windows XP-based); some malware families use standard libraries making attribution harder; requires large-scale real-world deployment for operational validation",Very High - seminal work establishing that malware TLS behavior is distinguishable from benign traffic without decryption; directly motivates ETTH,"Generalization to new malware families that evolve TLS usage; adaptation to TLS 1.3",Verified - arXiv preprint published in Journal of Computer Virology and Hacking Techniques
6,"Barut, O.; Zhu, R.; Luo, Y.; Zhang, T.",2020,"TLS Encrypted Application Classification Using Machine Learning with Flow Feature Engineering","Proceedings of the 10th International Conference on Communication and Network Security (ACM CNS)",https://doi.org/10.1145/3442520.3442529,barut2020tls,Area 1,"Classifying TLS-encrypted applications using engineered flow features and ML without payload inspection","non-vpn2016 dataset (ISCX)",TLS-encrypted application traffic (Audio Email Chat Video),TLS 1.0 TLS 1.2,"Flow features (packet sizes durations bytes transmitted) TLS handshake features (cipher suites extensions key lengths)",Not reported,Random Forest k-NN CNN,Macro-average F1 score mAP,"Achieves 0.929 macro-average F1 and 0.883 mAP on encrypted traffic classification; flow feature engineering with SMOTE augmentation effective for class imbalance; RF selected source port as most important feature (questionable due to OS randomization)","Source port randomness undermines feature importance; CNN requires data augmentation for imbalanced datasets; limited to 4 application classes",High - demonstrates flow feature engineering for TLS-encrypted classification; relevant to ETTH's feature design,"Effectiveness on modern TLS 1.3 traffic with encrypted SNI",Verified - DOI resolves to ACM CNS 2020 proceedings
7,"Althouse, John B.; Atkinson, Jeff; Atkins, Josh; Lindeman, Laura",2017,"Open Sourcing JA3","Salesforce Engineering Blog",https://engineering.salesforce.com/open-sourcing-ja3-92c9e53c3c41/,althouse2017ja3,Area 2,"Introducing JA3: a standard for creating SSL/TLS client fingerprints from ClientHello packets; enabling threat detection independent of destination","Not applicable (technical documentation)",SSL/TLS client traffic,TLS 1.0 TLS 1.2,"SSL Version Accepted Ciphers List of Extensions Elliptic Curves Elliptic Curve Formats from ClientHello",JA3 (MD5 hash of ordered ClientHello fields),Not applicable,Not reported,"JA3 creates 32-character MD5 fingerprint from ClientHello fields; ignores GREASE values; enables detection of client applications regardless of destination C2 IPs or certificates; open-sourced for integration with Bro/Suricata","MD5 hash may become obsolete; fingerprint collisions possible when applications share libraries; blacklist-based approach requires frequent updates; JA3 alone insufficient for reliable identification",Very High - foundational specification for TLS client fingerprinting; essential for understanding ETTH's fingerprinting component,"JA3 stability under TLS 1.3 and browser extension randomization",Verified - Salesforce Engineering Blog
8,"Althouse, John B.; Lindeman, Laura",2019,"TLS Fingerprinting with JA3 and JA3S","Salesforce Engineering Blog",https://engineering.salesforce.com/tls-fingerprinting-with-ja3-and-ja3s-247362855967/,althouse2019ja3s,Area 2,"Extending JA3 to server-side fingerprinting (JA3S) for combined client-server TLS negotiation identification","Not applicable (technical documentation)",SSL/TLS client and server traffic,TLS 1.0 TLS 1.2,"JA3: SSL Version Accepted Ciphers List of Extensions Elliptic Curves Elliptic Curve Formats; JA3S: Version Accepted Cipher List of Extensions from ServerHello",JA3 (client) + JA3S (server) combined fingerprint,Not applicable,Not reported,"Combined JA3+JA3S creates fingerprint of entire cryptographic negotiation; servers reply consistently to same client; JA3S cannot be used alone for detection; combined usage reduces false positives compared to JA3 alone","MD5 hash; blacklist-based; server responses may vary; JA3S has fewer fields than JA3 reducing discriminative power",Very High - extends JA3 to server-side fingerprinting; JA3+JA3S combination is directly relevant to ETTH's dual-fingerprint approach,"Combined fingerprint stability under TLS 1.3 and ECH",Verified - Salesforce Engineering Blog
9,"Matousek, Petr; Burgetova, Ivana; Rysavy, Ondrej; Victor, Malombe",2021,"On Reliability of JA3 Hashes for Fingerprinting Mobile Applications","Digital Forensics and Cyber Crime (ICDF2C 2021)",https://doi.org/10.1007/978-3-030-68734-2_1,matousek2021reliability,Area 2,"Evaluating stability reliability and uniqueness of JA3 fingerprints for mobile app identification in digital forensics","Mobile application traffic dataset collected from Android iOS and Windows apps",Mobile application TLS traffic,TLS 1.2,"JA3 fields: SSL Version Ciphers Extensions Elliptic Curves Elliptic Curve Formats",JA3,Not reported,Uniqueness stability collision rate,"JA3 not sufficient for reliable mobile app identification alone; multiple apps can share same JA3 hash due to common libraries or OS sockets; extension ordering affects fingerprint stability; recommends combining JA3+JA3S+SNI for improved reliability","Limited dataset scope; mobile apps only; does not evaluate JA4; stability over time not fully assessed",High - provides empirical evidence of JA3 limitations (collisions instability) that ETTH must address,"JA4 stability relative to JA3 for same mobile app dataset",Verified - DOI resolves to Springer ICDF2C 2021 proceedings
10,"Althouse, John",2023,"JA4+ Network Fingerprinting","FoxIO Blog",https://blog.foxio.io/ja4-network-fingerprinting-9376fe9ca637,althouse2023ja4,Area 2,"Introducing JA4+ suite of human-readable modular network fingerprints replacing JA3; covering TLS QUIC DTLS HTTP SSH TCP DHCP","Not applicable (technical documentation)",TLS QUIC DTLS HTTP SSH TCP DHCP traffic,TLS 1.2 TLS 1.3,"TLS Version Cipher count Extension count SNI presence ALPN first/last chars; sorted cipher list SHA256 hash (12 chars); sorted extension list + signature algorithms SHA256 hash (12 chars)",JA4 (client) JA4S (server) JA4H JA4L JA4X JA4SSH JA4T JA4D,Not applicable,Not reported,"JA4 uses human-readable format instead of opaque MD5; sorts cipher/extension lists (resilient to shuffling); strips GREASE values; covers QUIC and DTLS; JA4S for server fingerprinting; JA4+ suite extends to HTTP SSH TCP DHCP; BSD-3-Clause license for JA4","JA4+ beyond JA4 is under FoxIO License 1.1 (not permissive for monetization); community database still being built; adoption not yet widespread; limited independent academic validation",Very High - authoritative specification for JA4 fingerprinting; directly relevant to ETTH's proposed fingerprinting method,"Empirical collision rates for JA4 across diverse application sets",Verified - FoxIO official blog
